Ay,Ax,B,ux,uy,phi,t
5,-5,0,-0.0216131582722817,0.196052432475612,0,0.00010150000161957
5,-5,1,-0.0216131582722817,0.196052432475612,0,0.0001021999923978
5,-5,2,-0.0216131582722817,0.196052432475612,0,0.000100999997812323
5,-5,3,-0.0216131582722817,0.196052432475612,0,9.88000101642683E-05
6,-5,-3,-0.0304495159559137,0.232124870917994,0,0.000103099999250844
6,-5,-2,-0.0304495159559137,0.232124870917994,0,0.000103200000012293
6,-5,-1,-0.0304495159559137,0.232124870917994,0,0.000102200006949715
6,-5,0,-0.0304495159559137,0.232124870917994,0,0.000103500002296641
6,-5,1,-0.0304495159559137,0.232124870917994,0,0.000101700003142469
6,-5,2,-0.0304495159559137,0.232124870917994,0,0.000101199999335222
6,-5,3,-0.0304495159559137,0.232124870917994,0,9.86999948509038E-05
7,-5,-3,-0.0404239725987347,0.266700305806085,0,0.000101600002381019
7,-5,-2,-0.0404239725987347,0.266700305806085,0,0.000102399993920699
7,-5,-1,-0.0404239725987347,0.266700305806085,0,0.00010150000161957
7,-5,0,-0.0404239725987347,0.266700305806085,0,0.000103400001535192
7,-5,1,-0.0404239725987347,0.266700305806085,0,0.000103300000773743
7,-5,2,-0.0404239725987347,0.266700305806085,0,0.000103600003058091
7,-5,3,-0.0404239725987347,0.266700305806085,0,0.00011179999273736
8,-5,-3,-0.0513579027045786,0.299677477795761,0,0.000104500009911135
8,-5,-2,-0.0513579027045786,0.299677477795761,0,0.000103600003058091
8,-5,-1,-0.0513579027045786,0.299677477795761,0,0.000204700001631863
8,-5,0,-0.0513579027045786,0.299677477795761,0,9.03000036487356E-05
8,-5,1,-0.0513579027045786,0.299677477795761,0,8.6799991549924E-05
8,-5,2,-0.0513579027045786,0.299677477795761,0,8.61000007716939E-05
8,-5,3,-0.0513579027045786,0.299677477795761,0,8.57999984873459E-05
9,-5,-3,-0.0630767607860293,0.330997721538374,0,8.56000115163624E-05
9,-5,-2,-0.0630767607860293,0.330997721538374,0,8.52999946800992E-05
9,-5,-1,-0.0630767607860293,0.330997721538374,0,8.48000054247677E-05
9,-5,0,-0.0630767607860293,0.330997721538374,0,8.46000039018691E-05
9,-5,1,-0.0630767607860293,0.330997721538374,0,8.47999908728525E-05
9,-5,2,-0.0630767607860293,0.330997721538374,0,8.53999954415485E-05
9,-5,3,-0.0630767607860293,0.330997721538374,0,8.48000054247677E-05
10,-5,-3,-0.0754157272865636,0.360639400500907,0,8.53999954415485E-05
10,-5,-2,-0.0754157272865636,0.360639400500907,0,8.52000084705651E-05
10,-5,-1,-0.0754157272865636,0.360639400500907,0,8.46999901114032E-05
10,-5,0,-0.0754157272865636,0.360639400500907,0,8.48999916343018E-05
10,-5,1,-0.0754157272865636,0.360639400500907,0,8.47000046633184E-05
10,-5,2,-0.0754157272865636,0.360639400500907,0,8.46000039018691E-05
10,-5,3,-0.0754157272865636,0.360639400500907,0,9.50999965425581E-05
12,-5,-3,-0.101364567514384,0.414947521957311,0,9.18000005185604E-05
12,-5,-2,-0.101364567514384,0.414947521957311,0,9.04000044101849E-05
12,-5,-1,-0.101364567514384,0.414947521957311,0,9.05000051716343E-05
12,-5,0,-0.101364567514384,0.414947521957311,0,9.87999956123531E-05
12,-5,1,-0.101364567514384,0.414947521957311,0,0.000108799998997711
12,-5,2,-0.101364567514384,0.414947521957311,0,0.000109100001282059
12,-5,3,-0.101364567514384,0.414947521957311,0,0.00010739998833742
14,-5,-3,-0.128186798585373,0.46293021301499,0,0.000111500005004928
14,-5,-2,-0.128186798585373,0.46293021301499,0,0.000110499997390434
14,-5,-1,-0.128186798585373,0.46293021301499,0,0.00010659999679774
14,-5,0,-0.128186798585373,0.46293021301499,0,0.000107899992144667
14,-5,1,-0.128186798585373,0.46293021301499,0,0.000109400003566407
14,-5,2,-0.128186798585373,0.46293021301499,0,0.000110699998913333
14,-5,3,-0.128186798585373,0.46293021301499,0,0.000108399995951913
16,-5,-3,-0.155121912574022,0.505130314743252,0,0.000108099993667565
16,-5,-2,-0.155121912574022,0.505130314743252,0,0.000110200009658001
16,-5,-1,-0.155121912574022,0.505130314743252,0,0.000108600012026727
16,-5,0,-0.155121912574022,0.505130314743252,0,0.000109100001282059
16,-5,1,-0.155121912574022,0.505130314743252,0,0.000114900001790375
16,-5,2,-0.155121912574022,0.505130314743252,0,0.000105500002973713
16,-5,3,-0.155121912574022,0.505130314743252,0,0.000106999999843538
