Ay,Ax,B,ux,uy,phi,t
0,-10,-3,0,0,0,9.19e-06
0.5,-10,0,-0.000227,0.02024,0,7.85e-05
1,-10,0,-0.000909,0.04044,0,7.34e-05
2,-10,0,-0.003613,0.08056,0,6.93e-05
3,-10,0,-0.008043,0.12005,0,6.89e-05
4,-10,0,-0.01409,0.15863,0,6.88e-05
5,-10,0,-0.02161,0.19605,0,7.44e-05
20,-10,0,-0.20738,0.57469,0,8.89e-05
5,0,0,-0.02161,0.19605,0,0.000105
10,0,0,-0.07541,0.36063,0.0045,9.77e-05
20,0,0,-0.21426,0.56785,0.0141,0.000123
